Metric,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Total Revenue,95567000000.0,88425000000.0,102301000000.0,101197000000.0,
EBITDA,9585000000.0,8891000000.0,7662000000.0,12016000000.0,
EBIT,6462000000.0,5588000000.0,4506000000.0,7465000000.0,
Net Income,4592000000.0,3388000000.0,2442000000.0,5563000000.0,
Interest Expense,1414000000.0,1501000000.0,1281000000.0,1542000000.0,
Cash And Cash Equivalents,3633000000.0,7366000000.0,8607000000.0,9477000000.0,
Total Debt,24567000000.0,25994000000.0,29588000000.0,26954000000.0,
Depreciation And Amortization,3123000000.0,3303000000.0,3156000000.0,4551000000.0,
Capital Expenditure,-2652000000.0,-2756000000.0,-3003000000.0,-2796000000.0,
Operating Cash Flow,4521000000.0,8676000000.0,3565000000.0,10307000000.0,
Current Stock Price,127.32,,,,
Beta,1.095,,,,
Shares Outstanding,340672992.0,,,,
