Metric,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Total Revenue,53559000000.0,53718000000.0,62910000000.0,63460000000.0,
EBITDA,4716000000.0,4471000000.0,5463000000.0,8607000000.0,
EBIT,3886000000.0,3621000000.0,4683000000.0,7822000000.0,
Net Income,2775000000.0,3263000000.0,3132000000.0,6541000000.0,
Interest Expense,607000000.0,684000000.0,359000000.0,254000000.0,
Cash And Cash Equivalents,3238000000.0,3107000000.0,3145000000.0,4299000000.0,
Total Debt,10899000000.0,10739000000.0,12294000000.0,8778000000.0,
Depreciation And Amortization,830000000.0,850000000.0,780000000.0,785000000.0,
Capital Expenditure,-592000000.0,-593000000.0,-765000000.0,-582000000.0,
Operating Cash Flow,3749000000.0,3571000000.0,4463000000.0,6409000000.0,
Current Stock Price,24.45,,,,
Beta,1.309,,,,
Shares Outstanding,939273024.0,,,,
