Metric,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Total Revenue,43073000.0,22042000.0,11131000.0,2099000.0,
EBITDA,-213801000.0,-147379000.0,-80142000.0,-36139000.0,
EBIT,-232455000.0,-157754000.0,-85746000.0,-38687000.0,
Net Income,-331647000.0,-157771000.0,-48511000.0,-106186000.0,
Interest Expense,18249000.0,19322000.0,7093000.0,64000.0,
Cash And Cash Equivalents,54393000.0,35665000.0,44367000.0,399025000.0,
Total Debt,17725000.0,8105000.0,4050000.0,4211000.0,
Depreciation And Amortization,18654000.0,10375000.0,5604000.0,2548000.0,
Capital Expenditure,-23569000.0,-19549000.0,-12564000.0,-10024000.0,
Operating Cash Flow,-105683000.0,-78811000.0,-44698000.0,-26537000.0,
Current Stock Price,38.12,,,,
Beta,2.537,,,,
Shares Outstanding,291283008.0,,,,
