Metric,2025-04-30,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Total Revenue,6572000000.0,6268000000.0,6362000000.0,6318000000.0,
EBITDA,1690000000.0,1582000000.0,1381000000.0,1362000000.0,
EBIT,1447000000.0,1327000000.0,1133000000.0,1168000000.0,
Net Income,1186000000.0,986000000.0,1274000000.0,937000000.0,
Interest Expense,64000000.0,64000000.0,67000000.0,73000000.0,
Cash And Cash Equivalents,2742000000.0,1903000000.0,2316000000.0,4112000000.0,
Total Debt,3491000000.0,2652000000.0,2684000000.0,2940000000.0,
Depreciation And Amortization,243000000.0,255000000.0,248000000.0,194000000.0,
Capital Expenditure,-168000000.0,-155000000.0,-239000000.0,-226000000.0,
Operating Cash Flow,1506000000.0,1685000000.0,1107000000.0,1211000000.0,
Current Stock Price,101.1,,,,
Beta,1.438,,,,
Shares Outstanding,200099008.0,,,,
