Metric,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Total Revenue,3168164000.0,2830621000.0,2753434000.0,2180848000.0,
EBITDA,282301000.0,222485000.0,196989000.0,-8668000.0,
EBIT,155647000.0,98069000.0,96557000.0,-91819000.0,
Net Income,106739000.0,61311000.0,73071000.0,-143259000.0,
Interest Expense,7813000.0,7483000.0,4749000.0,36677000.0,
Cash And Cash Equivalents,723583000.0,702536000.0,580854000.0,466199000.0,
Total Debt,281153000.0,272073000.0,756118000.0,916391000.0,
Depreciation And Amortization,126654000.0,124416000.0,100432000.0,83151000.0,
Capital Expenditure,-226727000.0,-195161000.0,-158139000.0,-102287000.0,
Operating Cash Flow,753598000.0,677722000.0,767234000.0,410127000.0,
Current Stock Price,54.51,,,,
Beta,1.072,,,,
Shares Outstanding,326832000.0,,,,
