Metric,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Total Revenue,14989251000.0,7123482000.0,5196099000.0,3557422000.0
EBITDA,1274476000.0,799692000.0,375717000.0,149298000.0
EBIT,1233491000.0,764788000.0,343246000.0,121113000.0
Net Income,1152666000.0,639998000.0,285163000.0,111865000.0
Interest Expense,19352000.0,10491000.0,6413000.0,2485000.0
Cash And Cash Equivalents,1669766000.0,440459000.0,267397000.0,232266000.0
Total Debt,2174145000.0,290302000.0,596764000.0,119051000.0
Depreciation And Amortization,40985000.0,34904000.0,32471000.0,28185000.0
Capital Expenditure,-124279000.0,-36793000.0,-45182000.0,-58016000.0
Operating Cash Flow,-2485972000.0,663580000.0,-440801000.0,122955000.0
Current Stock Price,56.64,,,
Beta,1.456,,,
Shares Outstanding,596817984.0,,,
