Using database connection: sec_user@localhost:5432/sec_data
         56963 function calls (55375 primitive calls) in 0.674 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.674    0.674 etl_pipeline.py:153(run_etl_pipeline)
        1    0.000    0.000    0.581    0.581 core.py:20(__init__)
        1    0.000    0.000    0.581    0.581 _orchestrator.py:172(get_ticker_to_cik_mapping)
        1    0.001    0.001    0.575    0.575 _sec_gateway.py:52(get_ticker_metadata)
        1    0.000    0.000    0.571    0.571 limiter.py:455(wrapper)
        1    0.000    0.000    0.570    0.570 _sec_gateway.py:30(_call_sec)
        1    0.000    0.000    0.570    0.570 api.py:62(get)
        1    0.000    0.000    0.570    0.570 api.py:14(request)
        1    0.000    0.000    0.570    0.570 sessions.py:500(request)
        1    0.000    0.000    0.568    0.568 sessions.py:673(send)
       23    0.000    0.000    0.428    0.019 socket.py:692(readinto)
       23    0.000    0.000    0.428    0.019 ssl.py:1267(recv_into)
       23    0.000    0.000    0.428    0.019 ssl.py:1125(read)
       23    0.428    0.019    0.428    0.019 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.416    0.416 adapters.py:590(send)
        1    0.000    0.000    0.415    0.415 connectionpool.py:592(urlopen)
        1    0.000    0.000    0.415    0.415 connectionpool.py:377(_make_request)
        1    0.000    0.000    0.282    0.282 connection.py:534(getresponse)
        1    0.000    0.000    0.281    0.281 client.py:1331(getresponse)
        1    0.000    0.000    0.281    0.281 client.py:311(begin)
        1    0.000    0.000    0.281    0.281 client.py:278(_read_status)
       19    0.000    0.000    0.281    0.015 {method 'readline' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.152    0.051 models.py:890(content)
       11    0.000    0.000    0.152    0.014 {method 'join' of 'bytes' objects}
       51    0.000    0.000    0.151    0.003 models.py:816(generate)
       51    0.000    0.000    0.151    0.003 response.py:1069(stream)
       50    0.000    0.000    0.151    0.003 response.py:941(read)
       19    0.000    0.000    0.148    0.008 response.py:889(_raw_read)
       19    0.000    0.000    0.147    0.008 response.py:832(_fp_read)
       19    0.000    0.000    0.147    0.008 client.py:450(read)
       19    0.000    0.000    0.147    0.008 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.133    0.133 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.133    0.133 connection.py:718(connect)
        1    0.000    0.000    0.082    0.082 connection.py:192(_new_conn)
        1    0.000    0.000    0.082    0.082 connection.py:27(create_connection)
   108/25    0.000    0.000    0.053    0.002 coercions.py:313(expect)
   211/54    0.000    0.000    0.053    0.001 langhelpers.py:1335(__get__)
        3    0.000    0.000    0.053    0.018 session.py:2935(query)
        3    0.000    0.000    0.053    0.018 query.py:236(__init__)
        3    0.000    0.000    0.053    0.018 query.py:282(_set_entities)
        3    0.000    0.000    0.053    0.018 query.py:288(<listcomp>)
        1    0.000    0.000    0.053    0.053 mapper.py:2713(_post_inspect)
      8/2    0.000    0.000    0.053    0.026 mapper.py:2393(_check_configure)
      7/1    0.000    0.000    0.053    0.053 mapper.py:4190(_configure_registries)
        1    0.000    0.000    0.053    0.053 mapper.py:4224(_do_configure_registries)
        6    0.000    0.000    0.052    0.009 mapper.py:2403(_post_configure_properties)
        1    0.000    0.000    0.051    0.051 connection.py:895(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.050    0.050 ssl_.py:410(ssl_wrap_socket)
       47    0.000    0.000    0.048    0.001 interfaces.py:587(init)
        9    0.000    0.000    0.047    0.005 relationships.py:1652(do_init)
        1    0.000    0.000    0.044    0.044 socket.py:945(getaddrinfo)
        1    0.044    0.044    0.044    0.044 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.044    0.044 ssl_.py:508(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.044    0.044 ssl.py:511(wrap_socket)
        1    0.000    0.000    0.044    0.044 ssl.py:1018(_create)
        1    0.000    0.000    0.043    0.043 ssl.py:1339(do_handshake)
        1    0.043    0.043    0.043    0.043 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       45    0.000    0.000    0.041    0.001 visitors.py:1096(replacement_traverse)
       47    0.000    0.000    0.041    0.001 interfaces.py:1110(do_init)
       56    0.000    0.000    0.041    0.001 interfaces.py:1053(_get_strategy)
       63    0.000    0.000    0.041    0.001 traversals.py:216(_copy_internals)
   135/45    0.000    0.000    0.041    0.001 visitors.py:1132(clone)
      126    0.000    0.000    0.040    0.000 traversals.py:252(visit_clauseelement)
        9    0.000    0.000    0.040    0.004 strategies.py:708(__init__)
       18    0.000    0.000    0.039    0.002 relationships.py:3394(create_lazy_clause)
       72    0.039    0.001    0.039    0.001 elements.py:4968(_clone)
       32    0.000    0.000    0.038    0.001 annotation.py:352(_clone)
        1    0.038    0.038    0.038    0.038 {method 'connect' of '_socket.socket' objects}
        3    0.000    0.000    0.034    0.011 query.py:2731(first)
        3    0.000    0.000    0.034    0.011 query.py:2852(_iter)
        3    0.000    0.000    0.034    0.011 session.py:2305(execute)
        3    0.000    0.000    0.034    0.011 session.py:2138(_execute_internal)
        4    0.000    0.000    0.027    0.007 state_changes.py:93(_go)
        3    0.000    0.000    0.026    0.009 session.py:2099(_connection_for_bind)
        3    0.000    0.000    0.026    0.009 <string>:1(_connection_for_bind)
        3    0.000    0.000    0.026    0.009 session.py:1152(_connection_for_bind)
        1    0.000    0.000    0.026    0.026 base.py:3254(connect)
      2/1    0.000    0.000    0.026    0.026 base.py:129(__init__)
        1    0.000    0.000    0.026    0.026 base.py:3279(raw_connection)
        1    0.000    0.000    0.026    0.026 base.py:439(connect)
        1    0.000    0.000    0.026    0.026 base.py:1256(_checkout)
        1    0.000    0.000    0.026    0.026 base.py:706(checkout)
        1    0.000    0.000    0.026    0.026 impl.py:151(_do_get)
        1    0.000    0.000    0.026    0.026 base.py:385(_create_connection)
        1    0.000    0.000    0.026    0.026 base.py:665(__init__)
        1    0.000    0.000    0.026    0.026 base.py:887(__connect)
        1    0.000    0.000    0.020    0.020 create.py:649(connect)
        1    0.000    0.000    0.020    0.020 default.py:627(connect)
        1    0.000    0.000    0.020    0.020 __init__.py:80(connect)
        1    0.020    0.020    0.020    0.020 {built-in method psycopg2._psycopg._connect}
        3    0.000    0.000    0.007    0.002 context.py:296(orm_execute_statement)
        3    0.000    0.000    0.007    0.002 base.py:1375(execute)
        3    0.000    0.000    0.007    0.002 elements.py:517(_execute_on_connection)
        3    0.000    0.000    0.007    0.002 base.py:1591(_execute_clauseelement)
        8    0.007    0.001    0.007    0.001 {method 'execute' of 'psycopg2.extensions.cursor' objects}
        1    0.006    0.006    0.006    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        9    0.000    0.000    0.006    0.001 relationships.py:1894(_setup_join_conditions)
        1    0.000    0.000    0.006    0.006 attr.py:468(_exec_w_sync_on_first_run)
        1    0.000    0.000    0.006    0.006 attr.py:491(__call__)
        9    0.000    0.000    0.006    0.001 relationships.py:2284(__init__)
        6    0.000    0.000    0.006    0.001 base.py:1791(_execute_context)
        1    0.004    0.004    0.005    0.005 _orchestrator.py:181(<dictcomp>)
        6    0.000    0.000    0.005    0.001 base.py:1850(_exec_single_context)
        6    0.000    0.000    0.005    0.001 default.py:950(do_execute)
       47    0.000    0.000    0.004    0.000 interfaces.py:1114(post_instrument_class)
       47    0.000    0.000    0.004    0.000 strategies.py:70(_register_attribute)
        1    0.000    0.000    0.004    0.004 models.py:947(json)
        1    0.000    0.000    0.004    0.004 __init__.py:299(loads)
        1    0.000    0.000    0.004    0.004 decoder.py:332(decode)
        1    0.004    0.004    0.004    0.004 decoder.py:343(raw_decode)
        1    0.000    0.000    0.004    0.004 langhelpers.py:1990(go)
        1    0.000    0.000    0.004    0.004 create.py:747(first_connect)
        1    0.000    0.000    0.003    0.003 psycopg2.py:682(initialize)
        1    0.000    0.000    0.003    0.003 base.py:3259(initialize)
        3    0.000    0.000    0.003    0.001 elements.py:679(_compile_w_cache)
       20    0.000    0.000    0.003    0.000 __init__.py:1610(_log)
       19    0.000    0.000    0.003    0.000 response.py:494(_decode)
       20    0.000    0.000    0.003    0.000 response.py:105(decompress)
        1    0.000    0.000    0.003    0.003 default.py:525(initialize)
       18    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       47    0.000    0.000    0.002    0.000 attributes.py:2595(register_attribute_impl)
      159    0.000    0.000    0.002    0.000 __init__.py:1479(info)
        9    0.000    0.000    0.002    0.000 strategies.py:768(init_class_attribute)
       14    0.000    0.000    0.002    0.000 __init__.py:2140(info)
       38    0.000    0.000    0.002    0.000 strategies.py:240(init_class_attribute)
        3    0.000    0.000    0.002    0.001 base.py:1714(exec_driver_sql)
        1    0.000    0.000    0.002    0.002 elements.py:317(_compiler)
        1    0.000    0.000    0.002    0.002 compiler.py:1357(__init__)
        1    0.000    0.000    0.002    0.002 create.py:734(on_connect)
        1    0.000    0.000    0.002    0.002 psycopg2.py:782(on_connect)
        1    0.000    0.000    0.002    0.002 compiler.py:843(__init__)
      2/1    0.000    0.000    0.002    0.002 compiler.py:931(process)
     26/1    0.000    0.000    0.002    0.002 visitors.py:126(_compiler_dispatch)
        1    0.000    0.000    0.002    0.002 psycopg2.py:758(on_connect)
        1    0.000    0.000    0.002    0.002 langhelpers.py:1274(oneshot)
        1    0.000    0.000    0.002    0.002 compiler.py:4755(visit_select)
        1    0.000    0.000    0.002    0.002 psycopg2.py:832(_hstore_oids)
        1    0.000    0.000    0.002    0.002 extras.py:892(get_oids)
      307    0.000    0.000    0.002    0.000 base.py:463(__get__)
  981/641    0.000    0.000    0.002    0.000 {built-in method builtins.hasattr}
       20    0.000    0.000    0.002    0.000 __init__.py:1636(handle)
       20    0.000    0.000    0.002    0.000 __init__.py:1690(callHandlers)
       20    0.000    0.000    0.002    0.000 __init__.py:965(handle)
  259/221    0.000    0.000    0.002    0.000 langhelpers.py:1384(__getattr__)
       20    0.000    0.000    0.002    0.000 __init__.py:1098(emit)
        1    0.000    0.000    0.002    0.002 base.py:3529(_get_server_version_info)
       54    0.000    0.000    0.002    0.000 api.py:39(listen)
       47    0.000    0.000    0.002    0.000 attributes.py:468(__getattr__)
        1    0.000    0.000    0.002    0.002 sessions.py:457(prepare_request)
  980/866    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
   134/64    0.000    0.000    0.001    0.000 operators.py:577(__eq__)
       64    0.000    0.000    0.001    0.000 elements.py:1528(operate)
    55/54    0.000    0.000    0.001    0.000 registry.py:284(listen)
        1    0.000    0.000    0.001    0.001 ssl_.py:225(create_urllib3_context)
  118/112    0.000    0.000    0.001    0.000 {built-in method _operator.eq}
        9    0.000    0.000    0.001    0.000 unitofwork.py:43(track_cascade_events)
      157    0.000    0.000    0.001    0.000 langhelpers.py:1223(__get__)
       64    0.000    0.000    0.001    0.000 type_api.py:202(operate)
        9    0.000    0.000    0.001    0.000 relationships.py:2659(_annotate_remote)
      254    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFDA9BC8F90}
        4    0.001    0.000    0.001    0.000 {method 'rollback' of 'psycopg2.extensions.connection' objects}
       20    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 ssl.py:492(__new__)
        1    0.000    0.000    0.001    0.001 etl_pipeline.py:28(get_db_session)
       64    0.000    0.000    0.001    0.000 default_comparator.py:50(_boolean_compare)
       38    0.000    0.000    0.001    0.000 properties.py:469(_fallback_getattr)
        4    0.000    0.000    0.001    0.000 langhelpers.py:1350(oneshot)
        1    0.000    0.000    0.001    0.001 utils.py:207(get_netrc_auth)
        3    0.000    0.000    0.001    0.000 cache_key.py:411(_generate_cache_key)
        3    0.000    0.000    0.001    0.000 cache_key.py:347(_generate_cache_key)
     15/3    0.000    0.000    0.001    0.000 cache_key.py:221(_gen_cache_key)
        1    0.000    0.000    0.001    0.001 compiler.py:4866(<listcomp>)
       10    0.000    0.000    0.001    0.000 compiler.py:4483(_label_select_column)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1167(_find_and_load)
       39    0.000    0.000    0.001    0.000 annotation.py:369(__eq__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
        9    0.000    0.000    0.001    0.000 relationships.py:2549(_annotate_fks)
       54    0.000    0.000    0.001    0.000 base.py:177(_listen)
